Ticker,Short Name,Market Cap,Rank(Current Market Cap),Sector,Prim Exch Nm,Country,Cntry of Incorp,Best Analyst Rating,52Wk High,52Wk Low,52Wk Low Dt,52Wk High Dt,1Y Tot Ret (%),02/12/2019,01/01/2020,03/02/2020,02/03/2020,01/04/2020,01/05/2020,01/06/2020,01/07/2020,03/08/2020,01/09/2020,01/10/2020,02/11/2020
2330 TT Equity,TSMC,439852269568.00,11.00,Technology,Taiwan,TAIWAN,TW,4.666666508,17.73,7.74,03/19/2020,11/16/2020,60.55,10.08,11.08,10.40,10.33,8.96,10.24,9.87,10.74,14.13,14.80,14.92,15.25
WMT US Equity,WALMART INC,431977299968.00,12.00,"Consumer, Cyclical",New York,UNITED STATES,US,4.289473534,153.40,102.00,03/16/2020,11/16/2020,29.12,119.28,118.84,114.27,115.88,114.14,122.92,123.96,119.69,129.30,147.59,143.08,140.40
JNJ US Equity,JOHNSON&JOHNSON,397119062016.00,13.00,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.400000095,157.00,109.16,03/23/2020,04/23/2020,12.12,137.36,145.87,150.17,140.02,128.81,148.29,147.19,140.38,147.35,151.52,147.32,138.69
TSLA US Equity,TESLA INC,386828795904.00,14.00,"Consumer, Cyclical",NASDAQ GS,UNITED STATES,US,2.810810804,502.49,65.42,11/26/2019,09/01/2020,594.36,66.97,83.67,156.00,148.72,96.31,140.26,179.62,223.93,297.00,475.05,448.16,400.51
005930 KS Equity,SAMSUNG ELECTRON,357736939520.00,15.00,Technology,Korea SE,SOUTH KOREA,KR,4.826086998,60.56,33.65,03/19/2020,11/16/2020,27.75,42.49,48.27,47.99,46.17,37.02,40.84,41.82,43.79,47.55,45.71,50.03,50.59
JPM US Equity,JPMORGAN CHASE,357554225152.00,16.00,Financial,New York,UNITED STATES,US,4.310344696,141.10,76.91,03/19/2020,01/02/2020,-8.27,131.47,139.40,133.37,121.52,84.36,93.25,98.60,93.26,96.10,100.14,96.97,100.25
PG US Equity,PROCTER & GAMBLE,353170259968.00,17.00,"Consumer, Non-cyclical",New York,UNITED STATES,US,3.956521749,146.92,94.34,03/23/2020,11/09/2020,17.75,122.72,124.90,125.11,119.56,109.33,116.82,117.25,119.98,131.29,138.18,139.24,138.50
UNH US Equity,UNITEDHEALTH GRP,338558189568.00,18.00,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.5,367.95,187.72,03/23/2020,11/09/2020,24.90,279.66,293.98,274.02,273.11,237.32,284.51,305.93,297.73,303.61,312.83,313.07,312.10
MA US Equity,MASTERCARD INC-A,334418608128.00,19.00,Financial,New York,UNITED STATES,US,4.574999809,367.25,199.99,03/23/2020,08/28/2020,17.64,286.47,298.59,324.52,306.74,228.61,268.74,301.40,301.17,312.59,356.90,343.37,289.97
NVDA US Equity,NVIDIA CORP,333556383744.00,20.00,Technology,NASDAQ GS,UNITED STATES,US,4.439024448,589.07,180.68,03/18/2020,09/02/2020,159.03,209.25,235.30,240.33,276.43,243.07,282.78,352.25,381.20,440.41,552.84,544.58,503.23
NESN SW Equity,NESTLE SA-REG,332420644864.00,21.00,"Consumer, Non-cyclical",SIX-SW,SWITZERLAND,CH,4.225806236,123.55,88.03,03/16/2020,07/30/2020,2.63,103.36,108.48,110.73,105.12,103.18,106.09,108.04,111.32,118.93,119.58,119.87,113.55
600519 CH Equity,KWEICHOW MOUTA-A,331475353600.00,22.00,"Consumer, Non-cyclical",Shanghai,CHINA,CN,4.680850983,268.04,135.07,03/19/2020,09/02/2020,41.03,160.95,169.89,142.98,156.02,155.35,179.19,199.15,211.35,238.94,263.90,245.69,250.17
SPY US Equity,SPDR S&P 500 ETF,325581373440.00,23.00,Funds,NYSE Arca,UNITED STATES,US,0,364.38,218.26,03/23/2020,11/09/2020,16.95,311.64,321.86,324.12,309.09,246.15,282.79,305.55,310.52,328.79,352.60,337.04,330.20
HD US Equity,HOME DEPOT INC,300944654336.00,24.00,"Consumer, Cyclical",New York,UNITED STATES,US,4.117647171,292.95,140.63,03/18/2020,08/27/2020,22.93,217.62,218.38,231.54,229.94,178.63,218.57,247.29,248.15,266.18,285.94,277.62,270.74
ROG SW Equity,ROCHE HLDG-GENUS,296561016832.00,25.00,"Consumer, Non-cyclical",SIX-SW,SWITZERLAND,CH,4.466666698,379.84,280.59,03/16/2020,05/18/2020,4.20,305.82,325.09,336.61,329.05,329.47,349.25,346.09,351.95,352.92,350.03,343.06,329.62
MC FP Equity,LVMH MOET HENNE,285900570624.00,26.00,"Consumer, Cyclical",EN Paris,FRANCE,FR,3.96875,576.29,301.45,03/16/2020,11/11/2020,24.18,439.18,464.48,438.77,420.48,354.68,387.27,421.72,441.10,437.42,473.42,481.19,471.69
DIS US Equity,WALT DISNEY CO,261427855360.00,27.00,Communications,New York,UNITED STATES,US,4.354838848,153.41,79.07,03/18/2020,11/26/2019,-3.91,150.62,144.63,141.32,119.98,94.92,105.50,118.77,113.01,116.35,133.55,123.31,120.13
601398 CH Equity,IND & COMM BK-A,256837025792.00,28.00,Financial,Shanghai,CHINA,CN,4.473684311,0.87,0.69,09/04/2020,01/06/2020,-8.70,0.83,0.84,0.77,0.77,0.73,0.73,0.72,0.71,0.71,0.73,0.72,0.74
HAACU US Equity,HEALTH ASSURANCE,255510003712.00,29.00,Diversified,NASDAQ CM,UNITED STATES,US,0,10.44,10.15,11/13/2020,11/13/2020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VZ US Equity,VERIZON COMMUNIC,251968569344.00,30.00,Communications,New York,UNITED STATES,US,3.599999905,62.22,48.84,03/25/2020,12/20/2019,5.63,59.96,61.40,58.05,57.32,52.92,56.83,55.78,54.67,57.24,59.16,59.45,57.70
3690 HK Equity,MEITUAN-B,241630511104.00,31.00,Communications,Hong Kong,CHINA,KY,4.716980934,43.62,9.03,03/19/2020,11/09/2020,212.64,13.37,13.08,12.81,12.76,11.98,13.39,19.35,22.18,25.88,34.14,31.20,38.01
BAC US Equity,BANK OF AMERICA,238588772352.00,32.00,Financial,New York,UNITED STATES,US,4.034482956,35.72,17.95,03/23/2020,12/27/2019,-15.95,33.43,35.22,32.97,29.37,19.77,23.08,24.61,23.26,24.99,25.71,24.10,24.08
7203 JP Equity,TOYOTA MOTOR,234203824128.00,33.00,"Consumer, Cyclical",Tokyo,JAPAN,JP,4.043478489,72.98,53.60,03/13/2020,02/06/2020,-1.25,70.96,71.00,69.75,66.39,59.12,60.82,62.47,61.96,59.67,65.83,65.68,66.28
IVV US Equity,ISHARES-C S&P500,234105290752.00,34.00,Funds,NYSE Arca,UNITED STATES,US,0,365.69,220.28,03/23/2020,11/09/2020,16.92,313.41,323.24,325.56,310.40,246.80,283.53,306.68,311.81,330.11,354.06,338.24,331.36
KO US Equity,COCA-COLA CO/THE,231416856576.00,35.00,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.565217495,60.13,36.27,03/23/2020,02/21/2020,3.44,53.75,55.35,58.58,55.92,42.12,45.60,46.99,44.82,46.30,49.12,49.18,48.62
CRM US Equity,SALESFORCE.COM,227399892992.00,36.00,Technology,New York,UNITED STATES,US,4.625,284.50,115.29,03/18/2020,09/02/2020,61.41,161.00,162.64,185.42,176.76,134.06,156.37,176.36,191.89,203.19,281.25,253.45,232.45
CMCSA US Equity,COMCAST CORP-A,226661515264.00,37.00,Communications,NASDAQ GS,UNITED STATES,US,4.428571224,49.75,31.70,03/23/2020,11/16/2020,12.92,43.63,44.97,42.66,42.52,32.42,36.98,40.18,39.70,42.88,45.05,46.44,41.40
PYPL US Equity,PAYPAL HOLDINGS,224894533632.00,38.00,"Consumer, Non-cyclical",NASDAQ GS,UNITED STATES,US,4.617021084,215.83,82.07,03/23/2020,10/21/2020,81.90,106.21,108.17,116.51,112.86,91.38,120.61,154.53,177.43,197.07,208.93,196.94,187.76
ADBE US Equity,ADOBE INC,221126459392.00,39.00,Technology,NASDAQ GS,UNITED STATES,US,4.333333492,536.88,255.13,03/18/2020,09/02/2020,55.16,302.75,329.81,358.00,360.28,301.21,343.84,389.68,439.81,447.97,527.95,499.51,444.94
2318 HK Equity,PING AN,220079767552.00,40.00,Financial,Hong Kong,CHINA,CN,4.727272511,13.00,8.90,03/23/2020,01/20/2020,-1.20,11.44,11.82,11.28,11.19,9.71,10.28,9.99,10.00,10.49,10.57,10.26,10.23
NOVN SW Equity,NOVARTIS AG-REG,214035873792.00,41.00,"Consumer, Non-cyclical",SIX-SW,SWITZERLAND,CH,4.310344696,98.54,68.73,03/16/2020,02/13/2020,-8.11,91.12,95.14,94.66,85.74,81.54,85.64,86.37,87.57,84.19,86.95,87.51,79.45
NFLX US Equity,NETFLIX INC,211663994880.00,42.00,Communications,NASDAQ GS,UNITED STATES,US,3.976744175,575.37,290.25,03/17/2020,07/13/2020,60.17,309.99,323.57,358.00,381.05,364.08,415.27,425.92,485.64,498.62,556.55,527.51,484.12
OR FP Equity,L'OREAL,210769526784.00,43.00,"Consumer, Non-cyclical",EN Paris,FRANCE,FR,3.333333254,380.46,218.72,03/16/2020,11/12/2020,20.76,278.76,296.05,282.00,276.71,254.88,291.51,288.04,322.94,326.74,331.17,332.03,330.12
PFE US Equity,PFIZER INC,207494938624.00,44.00,"Consumer, Non-cyclical",New York,UNITED STATES,US,3.666666746,39.80,26.43,03/23/2020,11/09/2020,5.57,36.30,37.14,35.56,33.06,30.10,35.68,33.61,31.98,36.35,34.96,34.48,34.34
T US Equity,AT&T INC,206440218624.00,45.00,Communications,New York,UNITED STATES,US,3.322580576,39.55,26.08,03/23/2020,11/18/2019,-20.50,37.32,39.08,36.96,37.18,28.05,29.90,30.93,29.90,29.62,29.47,28.49,27.34
NKE US Equity,NIKE INC -CL B,204250136576.00,46.00,"Consumer, Cyclical",New York,UNITED STATES,US,4.527777672,136.35,60.00,03/18/2020,11/09/2020,42.33,93.56,101.31,99.27,92.68,79.23,85.54,99.54,97.40,98.33,114.84,126.64,122.39
MRK US Equity,MERCK & CO,202858168320.00,47.00,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.583333492,92.64,65.25,03/23/2020,12/20/2019,-2.15,87.04,90.95,87.34,81.37,73.80,77.67,79.56,78.12,82.54,84.43,81.64,76.71
ABT US Equity,ABBOTT LABS,201464332288.00,48.00,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.304347992,115.14,61.61,03/23/2020,11/06/2020,33.72,84.51,86.86,87.06,81.61,76.57,89.85,93.01,91.64,100.68,106.55,108.64,107.48
PEP US Equity,PEPSICO INC,201433972736.00,49.00,"Consumer, Non-cyclical",NASDAQ GS,UNITED STATES,US,4.300000191,147.20,101.42,03/20/2020,02/18/2020,9.63,135.88,136.67,142.51,137.58,118.12,130.14,132.99,132.36,136.70,139.19,140.80,135.15
939 HK Equity,CCB-H,192638926848.00,50.00,Financial,Hong Kong,CHINA,CN,4.666666508,0.88,0.64,10/07/2020,01/03/2020,-3.16,0.80,0.86,0.77,0.83,0.80,0.82,0.81,0.81,0.73,0.71,0.65,0.71
TMO US Equity,THERMO FISHER,190633263104.00,51.00,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.454545498,532.57,250.21,03/23/2020,11/06/2020,48.24,313.04,324.87,318.34,304.96,275.20,329.81,349.33,359.77,419.09,433.73,438.20,480.55
INTC US Equity,INTEL CORP,189286612992.00,52.00,Technology,NASDAQ GS,UNITED STATES,US,3.090909004,69.29,43.61,10/30/2020,01/24/2020,-19.88,57.66,59.85,64.42,58.18,51.88,57.47,61.86,58.81,48.30,50.79,52.24,44.46
VTI US Equity,VANGUARD TL SK E,185365987328.00,53.00,Funds,NYSE Arca,UNITED STATES,US,0,187.52,109.49,03/23/2020,11/09/2020,18.25,158.57,163.62,164.96,156.67,122.96,141.81,154.75,157.44,166.96,178.85,171.73,168.73
ASML NA Equity,ASML HOLDING NV,180887257088.00,54.00,Technology,EN Amsterdam,NETHERLANDS,NL,3.928571463,426.31,189.66,03/19/2020,11/16/2020,46.40,264.30,295.71,287.53,279.78,256.19,297.39,326.00,368.50,364.34,385.65,377.48,364.83
CSCO US Equity,CISCO SYSTEMS,179562168320.00,55.00,Communications,NASDAQ GS,UNITED STATES,US,3.758620739,50.28,32.40,03/16/2020,02/12/2020,-6.39,44.70,47.96,46.53,41.17,38.33,40.92,46.30,46.06,47.16,42.03,38.80,35.90
RIL IN Equity,RELIANCE INDS,176844357632.00,56.00,Energy,Natl India,INDIA,IN,4.057142735,32.26,11.37,03/23/2020,09/30/2020,32.42,21.93,20.96,19.25,17.95,13.98,19.14,20.12,23.01,26.71,28.57,30.39,25.20
VOO US Equity,VANGUARD S&P 500,176159571968.00,57.00,Funds,NYSE Arca,UNITED STATES,US,0,335.20,200.55,03/23/2020,11/09/2020,16.90,286.30,295.80,297.84,283.87,226.15,259.82,280.97,285.37,301.99,324.02,309.60,303.31
ABBV US Equity,ABBVIE INC,173652017152.00,58.00,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.478260994,101.28,62.55,03/23/2020,07/17/2020,18.06,87.03,88.54,82.30,88.69,73.42,82.84,90.70,99.14,95.94,92.24,87.14,88.25
ORCL US Equity,ORACLE CORP,172072255488.00,59.00,Technology,New York,UNITED STATES,US,3.571428537,62.60,39.71,03/12/2020,09/21/2020,2.06,55.43,52.98,53.09,50.90,48.71,51.79,53.06,55.49,55.98,57.66,59.68,56.45
CVX US Equity,CHEVRON CORP,171249500160.00,60.00,Energy,New York,UNITED STATES,US,4.172413826,122.72,51.60,03/19/2020,01/03/2020,-22.23,116.80,120.51,106.28,96.59,68.56,89.44,92.79,87.62,84.81,83.08,70.42,72.15
PRX NA Equity,PROSUS NV,170298998784.00,61.00,Communications,EN Amsterdam,NETHERLANDS,NL,4.647058964,119.55,50.71,03/18/2020,11/09/2020,38.93,67.11,74.61,73.95,72.39,66.90,76.01,84.65,93.18,98.90,103.90,93.21,102.09
PDD US Equity,PINDUODUO INC,170098851840.00,62.00,Communications,NASDAQ GS,CHINA,KY,3.957446814,155.61,30.20,03/16/2020,11/13/2020,238.06,36.04,37.82,35.79,37.51,35.90,45.43,65.76,85.45,96.03,91.36,74.43,91.62
QCOM US Equity,QUALCOMM INC,168598175744.00,63.00,Technology,NASDAQ GS,UNITED STATES,US,4.303030491,149.85,58.00,03/18/2020,11/09/2020,72.49,82.45,88.23,86.48,80.56,65.90,75.64,79.73,89.78,109.59,122.01,119.52,123.97
COST US Equity,COSTCO WHOLESALE,167573995520.00,64.00,"Consumer, Cyclical",NASDAQ GS,UNITED STATES,US,4.142857075,389.50,271.28,02/28/2020,11/09/2020,27.98,297.39,293.92,302.00,309.14,286.78,301.92,308.29,304.75,329.32,351.38,358.46,364.39
1288 HK Equity,ABC-H,165994070016.00,65.00,Financial,Hong Kong,CHINA,CN,4.548387051,0.45,0.31,10/07/2020,01/02/2020,-8.38,0.41,0.44,0.39,0.41,0.40,0.42,0.41,0.40,0.35,0.33,0.31,0.36
600036 CH Equity,CHINA MERCH BK-A,164044619776.00,66.00,Financial,Shanghai,CHINA,CN,4.444444656,6.72,4.04,03/19/2020,11/12/2020,27.12,5.13,5.40,4.99,4.99,4.53,4.97,4.89,4.92,5.01,5.48,5.30,6.02
DHR US Equity,DANAHER CORP,163138174976.00,67.00,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.652173996,248.32,119.60,03/23/2020,11/09/2020,57.94,145.69,153.48,161.00,150.69,128.70,160.77,165.38,177.16,206.83,208.38,214.67,232.44
000858 CH Equity,WULIANGYE YIBI-A,161625128960.00,68.00,"Consumer, Non-cyclical",Shenzhen,CHINA,CN,4.644444466,42.12,13.88,03/19/2020,11/11/2020,103.05,18.04,19.10,16.17,17.62,16.20,19.22,22.25,25.74,31.19,34.60,32.54,36.72
MCD US Equity,MCDONALDS CORP,161487896576.00,69.00,"Consumer, Cyclical",New York,UNITED STATES,US,4.411764622,231.91,124.23,03/18/2020,10/16/2020,14.06,195.18,197.61,215.18,202.55,158.17,182.66,187.41,184.66,194.40,212.69,219.59,212.56
XOM US Equity,EXXON MOBIL CORP,161349419008.00,70.00,Energy,New York,UNITED STATES,US,3,71.37,30.11,03/23/2020,01/03/2020,-40.45,68.42,69.78,60.73,53.88,37.53,43.14,46.28,43.71,42.25,39.43,33.13,33.99
ULVR LN Equity,UNILEVER PLC,161339719680.00,71.00,"Consumer, Non-cyclical",London,BRITAIN,GB,3.578947306,64.34,43.84,03/16/2020,10/14/2020,1.18,58.75,57.67,59.56,55.33,49.51,51.29,53.80,54.14,60.90,59.27,61.96,57.80
UNA NA Equity,UNILEVER NV,160972849152.00,72.00,"Consumer, Non-cyclical",EN Amsterdam,BRITAIN,NL,3.64516139,63.33,42.87,03/16/2020,02/17/2020,-4.32,58.99,57.45,58.58,54.25,47.83,50.08,51.93,53.48,60.11,58.11,60.75,57.41
TMUS US Equity,T-MOBILE US INC,159678676992.00,73.00,Communications,NASDAQ GS,UNITED STATES,US,4.599999905,132.33,63.38,03/18/2020,11/16/2020,67.74,77.50,78.28,79.31,93.12,84.97,86.04,99.52,106.13,106.88,116.90,115.73,110.39
NOVOB DC Equity,NOVO NORDISK-B,158511546368.00,74.00,"Consumer, Non-cyclical",Copenhagen,DENMARK,DK,3.702702761,73.85,49.22,03/16/2020,10/13/2020,12.14,55.90,58.06,61.25,60.27,60.71,63.54,65.12,65.46,65.41,66.01,69.45,65.07
ACN US Equity,ACCENTURE PLC-A,155427045376.00,75.00,Technology,New York,IRELAND,IE,4.038461685,248.00,137.15,03/23/2020,11/09/2020,24.60,199.59,210.57,207.80,189.55,154.68,180.09,203.38,214.59,227.18,240.02,225.18,220.19
AVGO US Equity,BROADCOM INC,154038157312.00,76.00,Technology,NASDAQ GS,UNITED STATES,US,4.545454502,393.89,155.67,03/18/2020,11/09/2020,26.77,310.72,316.02,305.23,284.97,223.63,259.70,289.99,312.73,321.23,359.54,368.60,351.25
NEE US Equity,NEXTERA ENERGY,152318017536.00,77.00,Utilities,New York,UNITED STATES,US,4.181818008,83.34,43.70,03/23/2020,11/09/2020,31.94,57.81,60.54,66.70,67.09,54.56,56.76,63.91,61.56,69.40,69.28,70.69,75.13
MDT US Equity,MEDTRONIC PLC,150062923776.00,78.00,"Consumer, Non-cyclical",New York,IRELAND,IE,4.428571224,122.15,72.13,03/18/2020,01/22/2020,2.25,110.91,113.45,117.99,102.62,84.11,95.14,97.11,92.32,97.33,107.52,102.30,102.43
AZN LN Equity,ASTRAZENECA PLC,148602372096.00,79.00,"Consumer, Non-cyclical",London,BRITAIN,GB,4,128.03,71.83,03/16/2020,07/20/2020,14.33,96.00,100.85,96.97,89.79,88.03,102.63,108.50,105.48,114.48,109.77,109.33,100.32
CHTR US Equity,CHARTER COMMUN-A,148510146560.00,80.00,Communications,NASDAQ GS,UNITED STATES,US,4.375,663.70,345.67,03/18/2020,10/12/2020,35.82,470.33,485.08,532.05,497.13,424.03,509.64,541.30,521.91,589.70,617.24,635.11,588.43
2628 HK Equity,CHINA LIFE-H,148127105024.00,81.00,Financial,Hong Kong,CHINA,CN,4.451612949,2.94,1.50,03/19/2020,01/14/2020,-11.31,2.54,2.78,2.41,2.36,1.93,2.13,1.92,2.01,2.31,2.42,2.24,2.17
SAP GR Equity,SAP SE,146602999808.00,82.00,Technology,Xetra,GERMANY,DE,3.973684311,169.59,89.77,03/16/2020,09/03/2020,-17.31,133.28,134.93,132.46,126.38,105.11,118.96,127.91,140.33,162.11,166.26,156.96,105.76
HON US Equity,HONEYWELL INTL,146364628992.00,83.00,Industrial,New York,UNITED STATES,US,4.28000021,210.00,101.08,03/23/2020,11/09/2020,15.17,174.32,177.00,171.32,164.24,129.71,137.25,146.18,144.11,148.53,167.97,163.68,173.61
BMY US Equity,BRISTOL-MYER SQB,145753980928.00,84.00,"Consumer, Non-cyclical",New York,UNITED STATES,US,4.272727489,68.34,45.76,03/23/2020,01/22/2020,13.31,57.41,64.19,63.58,60.34,54.82,60.26,60.29,59.43,59.10,60.97,59.82,59.49
UPS US Equity,UNITED PARCEL-B,145599201280.00,85.00,Industrial,New York,UNITED STATES,US,3.571428537,178.01,82.00,03/12/2020,10/21/2020,42.76,118.22,117.06,102.03,92.75,90.39,91.90,99.28,114.42,142.18,162.65,167.65,159.55
TXN US Equity,TEXAS INSTRUMENT,145319411712.00,86.00,Technology,NASDAQ GS,UNITED STATES,US,3.333333254,164.63,93.09,03/16/2020,11/09/2020,37.43,118.79,128.29,123.40,118.97,96.89,109.71,117.86,124.80,129.32,144.96,144.91,145.60
QQQ US Equity,INVESCO QQQ TRUS,140296208384.00,87.00,Funds,NASDAQ GM,UNITED STATES,US,0,303.50,164.93,03/23/2020,09/02/2020,44.84,203.00,212.61,222.38,216.42,182.31,212.74,234.06,250.49,269.38,299.92,282.25,269.98
UNP US Equity,UNION PAC CORP,139295440896.00,88.00,Industrial,New York,UNITED STATES,US,4.206896782,210.95,105.08,03/18/2020,10/16/2020,18.04,173.00,180.79,180.29,160.34,136.49,156.64,169.50,166.88,172.06,195.80,194.23,179.24
AMGN US Equity,AMGEN INC,137776021504.00,89.00,"Consumer, Non-cyclical",NASDAQ GS,UNITED STATES,US,3.838709593,264.97,177.05,03/23/2020,07/06/2020,2.83,233.48,241.07,216.88,212.20,197.81,230.98,226.91,255.12,247.36,250.86,255.39,220.21
ABI BB Equity,ANHEUSER-BUSCH I,137184428032.00,90.00,"Consumer, Non-cyclical",EN Brussels,BELGIUM,BE,3.971428633,83.86,31.01,03/19/2020,01/07/2020,-22.29,79.00,81.54,75.47,58.14,43.48,46.02,48.85,48.92,54.43,57.79,53.79,52.23
1299 HK Equity,AIA,136425111552.00,91.00,Financial,Hong Kong,HONG KONG,HK,4.758620739,11.61,7.73,03/19/2020,11/11/2020,17.05,10.08,10.50,10.11,9.82,8.99,9.28,8.53,9.33,8.95,10.37,9.79,9.46
9984 JP Equity,SOFTBANK GROUP C,136250351616.00,92.00,Communications,Tokyo,JAPAN,JP,4.882352829,69.25,23.52,03/19/2020,10/13/2020,61.43,38.85,43.77,41.43,46.75,34.32,43.15,46.64,51.68,65.34,61.49,61.29,63.86
TCS IN Equity,TATA CONSULTANCY,134556508160.00,93.00,Technology,Natl India,INDIA,IN,3.622222185,39.34,20.33,03/13/2020,10/08/2020,27.44,28.21,30.38,29.49,27.55,22.31,26.55,27.06,27.71,29.97,30.74,34.46,34.96
LLY US Equity,ELI LILLY & CO,134485803008.00,94.00,"Consumer, Non-cyclical",New York,UNITED STATES,US,3.952380896,170.75,113.29,11/18/2019,07/09/2020,27.11,116.74,131.43,141.00,132.84,136.42,153.63,152.45,163.30,152.84,147.30,144.29,131.63
LIN US Equity,LINDE PLC,133927624704.00,95.00,Basic Materials,New York,BRITAIN,IE,4.194444656,269.78,146.71,03/16/2020,11/09/2020,24.17,200.63,212.90,209.44,198.15,160.87,180.33,205.22,214.77,244.31,256.94,232.70,228.58
JD US Equity,JD.COM INC-ADR,133423112192.00,96.00,Communications,NASDAQ GS,CHINA,KY,4.775510311,92.77,30.84,12/03/2019,11/06/2020,165.23,32.29,35.23,39.20,43.30,40.91,41.38,54.73,60.00,64.53,82.49,78.57,82.32
3988 HK Equity,BANK OF CHINA-H,132749484032.00,97.00,Financial,Hong Kong,CHINA,CN,4.333333492,0.44,0.30,10/07/2020,01/03/2020,-10.99,0.40,0.43,0.39,0.40,0.38,0.38,0.37,0.37,0.33,0.33,0.31,0.33
1306 JP Equity,NEXT FUNDS TOPIX,132274798592.00,98.00,Funds,Tokyo,JAPAN,JP,0,17.36,11.57,03/17/2020,12/13/2019,4.44,16.30,16.41,15.95,14.67,13.21,14.07,15.30,15.07,14.76,15.69,15.97,15.93
SAN FP Equity,SANOFI,127782969344.00,99.00,"Consumer, Non-cyclical",EN Paris,FRANCE,FR,4.466666698,110.35,75.14,03/16/2020,07/21/2020,6.72,91.39,100.50,96.88,95.69,86.24,98.00,98.71,102.62,106.05,100.14,100.18,92.30
941 HK Equity,CHINA MOBILE,127174451200.00,100.00,Communications,Hong Kong,HONG KONG,HK,4.615384579,9.01,5.82,03/19/2020,01/20/2020,-19.86,7.58,8.40,8.21,7.88,7.36,8.06,7.16,6.75,6.95,6.94,6.38,6.26
RDSA LN Equity,ROYAL DUTCH SH-A,125676830720.00,101.00,Energy,London,NETHERLANDS,GB,3.916666746,30.77,10.93,10/28/2020,01/06/2020,-43.68,28.66,29.63,25.55,21.98,17.62,15.41,16.09,16.28,14.93,14.53,11.97,13.09
